duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,library
1.731588,3.646545,2.565002,0.005554,0.963623,100Kb,pygame
1.838038,3.621765,2.417603,0.005554,1.011902,100Kb,pygame
1.734588,3.455078,2.290283,0.005554,0.962646,100Kb,pygame
1.731290,3.284973,2.209839,0.005554,0.951721,100Kb,pygame
1.834971,3.437927,2.257996,0.005554,1.011047,100Kb,pygame
1.734371,3.284790,2.174194,0.005554,0.960510,100Kb,pygame
2.035992,3.653076,2.425720,0.005554,1.115662,100Kb,pygame
1.734332,3.307800,2.199951,0.005554,0.960632,100Kb,pygame
1.831341,3.479614,2.263794,0.005554,1.008057,100Kb,pygame
1.936287,3.633728,2.442444,0.005554,1.065918,100Kb,pygame
1.732141,3.713257,2.610168,0.005554,0.960571,100Kb,pygame
1.732585,3.362000,2.231995,0.005554,0.954956,100Kb,pygame
1.834934,3.456055,2.315552,0.005554,1.016052,100Kb,pygame
2.551120,4.491516,2.922119,0.005554,1.393372,100Kb,pygame
2.039372,3.752808,2.477966,0.005554,1.125000,100Kb,pygame
1.834232,3.415649,2.316162,0.005554,1.013977,100Kb,pygame
1.836868,3.450500,2.288940,0.005554,1.012207,100Kb,pygame
1.936349,3.519165,2.307983,0.005554,1.061401,100Kb,pygame
1.833561,3.387695,2.252563,0.005554,1.011780,100Kb,pygame
1.838452,3.646301,2.421387,0.005554,1.022522,100Kb,pygame
1.728301,3.415466,2.247498,0.005554,0.955505,100Kb,pygame
1.835955,3.440552,2.308655,0.005554,1.014709,100Kb,pygame
1.731327,3.276489,2.176025,0.005554,0.955383,100Kb,pygame
1.734432,3.411743,2.261841,0.005554,0.962830,100Kb,pygame
1.732457,3.350342,2.226013,0.005554,0.960632,100Kb,pygame
1.834832,3.828247,2.580994,0.003479,1.028809,100Kb,pygame
1.736670,3.457031,2.329590,0.003479,0.960999,100Kb,pygame
2.041873,3.567993,2.387634,0.003479,1.113464,100Kb,pygame
1.830738,3.494385,2.372803,0.003479,1.018616,100Kb,pygame
1.936498,4.621704,3.196106,0.003479,1.069885,100Kb,pygame
1.544690,2.983337,2.024170,0.003479,0.858032,100Kb,pygame
2.225598,4.008545,2.602112,0.003479,1.218567,100Kb,pygame
1.733009,3.301941,2.156372,0.003479,0.962585,100Kb,pygame
2.037876,3.710938,2.471619,0.003479,1.118958,100Kb,pygame
1.937236,3.742676,2.453064,0.003479,1.068665,100Kb,pygame
1.732565,3.881775,2.596436,0.004578,1.005798,100Kb,pygame
1.730625,3.282043,2.222229,0.004578,0.953979,100Kb,pygame
1.836321,3.576660,2.336792,0.004578,1.013428,100Kb,pygame
1.735096,3.656372,2.440857,0.004578,0.983887,100Kb,pygame
1.732999,3.458801,2.323364,0.004089,0.980042,100Kb,pygame
1.833188,3.508362,2.343323,0.004089,1.018066,100Kb,pygame
1.937761,3.894470,2.633545,0.004089,1.077148,100Kb,pygame
2.039783,3.644836,2.421631,0.004089,1.124512,100Kb,pygame
1.740457,3.453979,2.332031,0.004089,0.953064,100Kb,pygame
1.826525,3.611633,2.317444,0.004089,1.010376,100Kb,pygame
1.733999,3.308777,2.225647,0.004089,0.958496,100Kb,pygame
1.731583,3.299255,2.185608,0.004089,0.954285,100Kb,pygame
1.221418,3.168579,2.140015,0.049805,0.791687,500b,opencv
1.326384,2.836731,1.894470,0.016907,0.782959,500b,opencv
1.219908,2.689697,1.798035,0.008484,0.710632,500b,opencv
1.326411,2.770447,1.861511,0.008179,0.761963,500b,opencv
1.218786,2.613892,1.723389,0.009888,0.698975,500b,opencv
