compute_time,download_size,download_time,image,library,upload_size,upload_time
0.002669,100000,1.121565,100Kb,opencv,3214,0.3666
0.002569,100000,1.311943,100Kb,opencv,3214,0.382685
0.002543,100000,1.328463,100Kb,opencv,3214,0.466446
0.00259,100000,1.118033,100Kb,opencv,3214,0.371492
0.002541,100000,1.293892,100Kb,opencv,3214,0.401046
0.002569,100000,1.291116,100Kb,opencv,3214,0.403123
0.002545,100000,1.394495,100Kb,opencv,3214,0.404212
0.002565,100000,1.029813,100Kb,opencv,3214,0.358337
0.002551,100000,1.019086,100Kb,opencv,3214,0.466367
0.002508,100000,1.121653,100Kb,opencv,3214,0.36398
0.002614,100000,0.992851,100Kb,opencv,3214,0.392749
0.002564,100000,1.128851,100Kb,opencv,3214,0.457483
0.010768,1000297,2.76635,1Mb,pillow,1417,0.457205
0.010839,1000297,3.102787,1Mb,pillow,1417,0.482422
0.010818,1000297,2.999281,1Mb,pillow,1417,0.421627
0.010719,1000297,3.135306,1Mb,pillow,1417,0.387822
0.010779,1000297,1.649561,1Mb,pillow,1417,0.44595
0.010935,1000297,2.947197,1Mb,pillow,1417,0.470466
0.01075,1000297,1.505444,1Mb,pillow,1417,0.448177
0.010718,1000297,2.426065,1Mb,pillow,1417,0.486926
0.011042,1000297,2.82039,1Mb,pillow,1417,0.397629
0.010742,1000297,2.452362,1Mb,pillow,1417,0.462962
0.010778,1000297,3.136332,1Mb,pillow,1417,0.389154
0.010792,1000297,3.051529,1Mb,pillow,1417,0.374715
0.010962,1000297,2.244703,1Mb,pillow,1417,0.464587
0.010737,1000297,2.826493,1Mb,pillow,1417,0.393167
0.011916,1000297,2.630012,1Mb,pillow,1417,0.384051
0.010871,1000297,2.106997,1Mb,pillow,1417,0.396988
0.011252,1000297,2.504295,1Mb,pillow,1417,0.410377
0.010837,1000297,3.292464,1Mb,pillow,1417,0.44029
0.010704,1000297,2.192426,1Mb,pillow,1417,0.415041
0.010777,1000297,1.706828,1Mb,pillow,1417,0.379447
0.010738,1000297,1.940184,1Mb,pillow,1417,0.45903
0.010783,1000297,2.31029,1Mb,pillow,1417,0.402069
0.010703,1000297,3.346399,1Mb,pillow,1417,0.386083
0.010729,1000297,3.9943,1Mb,pillow,1417,0.454827
0.010814,1000297,1.456716,1Mb,pillow,1417,0.431825
0.010748,1000297,2.438744,1Mb,pillow,1417,0.49894
0.010785,1000297,2.854774,1Mb,pillow,1417,0.319693
0.010722,1000297,4.420952,1Mb,pillow,1417,0.458278
0.010726,1000297,2.4965,1Mb,pillow,1417,0.418214
0.010906,1000297,2.475416,1Mb,pillow,1417,0.43963
0.011432,1000297,2.388168,1Mb,pillow,1417,0.419217
0.010704,1000297,2.206468,1Mb,pillow,1417,0.400617
